module_id,work_package,module_family,test_classification,definition,status_before_results,may_enter_combination,evidence_level
A4_BASELINE,A4C0,BASELINE,FROZEN_CONTROL,INDUSTRY_PLUS_THEME|SLOW_RS_3_6_12|TOP_1|MONTHLY|100PCT_RISKY,PREREGISTERED,YES,E2_DEVELOPMENTAL
DD_ROOT_CAUSE,A4C1,DRAWDOWN_FORENSICS,PRIMARY_PREDECLARED,Every baseline drawdown reaching -5pct with nested -10pct/-15pct flags,PREREGISTERED,NO,E1_EXPLORATORY
FAST_MIGRATION,A4C2,MIGRATION,PRIMARY_PREDECLARED,Weekly fast-to-slow trajectories at -12/-8/-6/-4/-3/-2/-1/0 weeks,PREREGISTERED,NO,E1_EXPLORATORY
FAST_CONVERSION,A4C2,CONVERSION,PRIMARY_PREDECLARED,4w/8w slow top5/top3/rank1 conversion by fast rank/change/gap,PREREGISTERED,NO,E1_EXPLORATORY
CROSSOVER_PRIMARY,A4C2,CROSSOVER,PRIMARY_PREDECLARED,FAST>=90pct gap>=15pt change4w>=10pt RS63>0 relslope42>0,PREREGISTERED,NO,E2_DEVELOPMENTAL
CROSSOVER_LOOSER,A4C2,CROSSOVER,ROBUSTNESS,FAST>=80pct gap>=10pt change4w>=5pt RS63>0 relslope42>0,PREREGISTERED,NO,E2_DEVELOPMENTAL
CROSSOVER_TIGHTER,A4C2,CROSSOVER,ROBUSTNESS,FAST>=95pct gap>=20pt change4w>=15pt RS63>0 relslope42>0,PREREGISTERED,NO,E2_DEVELOPMENTAL
PERSISTENCE_1W,A4C2,PERSISTENCE,PRIMARY_PREDECLARED,One weekly crossover observation,PREREGISTERED,NO,E1_EXPLORATORY
PERSISTENCE_2W,A4C2,PERSISTENCE,PRIMARY_PREDECLARED,Two consecutive weekly crossover observations,PREREGISTERED,NO,E1_EXPLORATORY
PERSISTENCE_3W,A4C2,PERSISTENCE,PRIMARY_PREDECLARED,Three consecutive weekly crossover observations,PREREGISTERED,NO,E1_EXPLORATORY
EARLY_A,A4C2,EARLY_PARTICIPATION,PRIMARY_PREDECLARED,20/40/60/100 scout ladder,PREREGISTERED,YES,E2_DEVELOPMENTAL
EARLY_B,A4C2,EARLY_PARTICIPATION,PRIMARY_PREDECLARED,Two-week persistence then 25/50/75/100 scout ladder,PREREGISTERED,YES,E2_DEVELOPMENTAL
EARLY_C,A4C2,EARLY_PARTICIPATION,PRIMARY_PREDECLARED,75/25 parallel challenger with two-week slow-rank improvement requirement,PREREGISTERED,YES,E2_DEVELOPMENTAL
EXIT_A_50EMA,A4C3,TREND_EXIT,PRIMARY_PREDECLARED,Weekly GBP total-return index below EMA50 exits to GBP cash,PREREGISTERED,YES,E2_DEVELOPMENTAL
EXIT_B_21_WARNING_50_FAILURE,A4C3,TREND_EXIT,PRIMARY_PREDECLARED,Below EMA21 targets 75pct; below EMA50 targets zero,PREREGISTERED,YES,E2_DEVELOPMENTAL
EXIT_C_ABSOLUTE_AND_RELATIVE,A4C3,TREND_EXIT,PRIMARY_PREDECLARED,Below EMA50 and relative line below EMA42 exits,PREREGISTERED,YES,E2_DEVELOPMENTAL
EXIT_D_RELATIVE_ONLY,A4C3,TREND_EXIT,PRIMARY_PREDECLARED,Relative slope42<0 and FAST<median for two weekly reviews exits,PREREGISTERED,YES,E2_DEVELOPMENTAL
VOL_TARGET_10,A4C4,RISK_BUDGET,PRIMARY_PREDECLARED,Weight=min(1;10pct/prior63dvol) with 5pct floor,PREREGISTERED,YES,E2_DEVELOPMENTAL
VOL_TARGET_12_5,A4C4,RISK_BUDGET,PRIMARY_PREDECLARED,Weight=min(1;12.5pct/prior63dvol) with 5pct floor,PREREGISTERED,YES,E2_DEVELOPMENTAL
VOL_TARGET_15,A4C4,RISK_BUDGET,PRIMARY_PREDECLARED,Weight=min(1;15pct/prior63dvol) with 5pct floor,PREREGISTERED,YES,E2_DEVELOPMENTAL
CORE_ACTIVE_25,A4C5,CORE_SATELLITE,PRIMARY_PREDECLARED,25pct frozen active and 75pct GLOBAL_DEVELOPED_WORLD monthly rebalance,PREREGISTERED,YES,E2_DEVELOPMENTAL
CORE_ACTIVE_50,A4C5,CORE_SATELLITE,PRIMARY_PREDECLARED,50pct frozen active and 50pct GLOBAL_DEVELOPED_WORLD monthly rebalance,PREREGISTERED,YES,E2_DEVELOPMENTAL
CORE_ACTIVE_75,A4C5,CORE_SATELLITE,PRIMARY_PREDECLARED,75pct frozen active and 25pct GLOBAL_DEVELOPED_WORLD monthly rebalance,PREREGISTERED,YES,E2_DEVELOPMENTAL
CORE_ACTIVE_100,A4C5,CORE_SATELLITE,FROZEN_CONTROL,100pct frozen active,PREREGISTERED,YES,E2_DEVELOPMENTAL
COMBINATION_EARLY_EXIT,A4C6,CONTROLLED_COMBINATION,CONTINGENT_PREDECLARED,Only strongest independently qualifying early plus exit modules,CONTINGENT,NO,E2_DEVELOPMENTAL
COMBINATION_EARLY_VOL,A4C6,CONTROLLED_COMBINATION,CONTINGENT_PREDECLARED,Only strongest independently qualifying early plus volatility modules,CONTINGENT,NO,E2_DEVELOPMENTAL
COMBINATION_EXIT_VOL,A4C6,CONTROLLED_COMBINATION,CONTINGENT_PREDECLARED,Only strongest independently qualifying exit plus volatility modules,CONTINGENT,NO,E2_DEVELOPMENTAL
COMBINATION_ACTIVE_CORE,A4C6,CONTROLLED_COMBINATION,CONTINGENT_PREDECLARED,Strongest qualifying active architecture inside strongest qualifying core blend,CONTINGENT,NO,E2_DEVELOPMENTAL
