figure_id,file,title,sample,cost_assumption,frequency,strategy_configuration,return_basis,source_files,derivation_status,sha256
1,figures/FIGURE_01_RESEARCH_LINEAGE.png,Research lineage and decision chronology,Lineage through 2026-08-21,Not applicable,Stage-dependent,A0/A1 through A5C,Not applicable,Canonical decisions/manifests,DETERMINISTIC_FORMAT_OR_EXACT_REPRODUCTION,34720e7c640a4327198a2c6bde59260d3248e6aecb665440ea9c93961c304085
2,figures/FIGURE_02_DATA_CAUSAL_TIMELINE.png,Data windows and causal execution contract,Formation 2017-02-03; executable 2017-03-01–2026-08-21,Not applicable,Monthly,M2 TOP7 causal contract,Not applicable,A2R2 policies and A5C frozen spec,DETERMINISTIC_FORMAT_OR_EXACT_REPRODUCTION,60ac91b54d09fa9dbb1c5f2bb51ee2949ba3337a33249754320d3cfb0f043823
3,figures/FIGURE_03_BREADTH_FRONTIER.png,Breadth frontier,2017-03-01–2026-08-21; latest five years from 2021-09-01,20 bps one-way plus fixed fee,Monthly,"M2 TOP3–TOP10, CASH0, equal",Net,UKACTIVE_A4D_BREADTH_RESULTS.csv,DETERMINISTIC_FORMAT_OR_EXACT_REPRODUCTION,3f08a19cd1f2d7fe5f04453dd9c6c0d2ca2d2cf62e86717f6140d4921972bcc1
4,figures/FIGURE_04_FREQUENCY_TURNOVER_COST.png,Frequency versus turnover and cost,2017-03-01–2026-08-21,20 bps baseline and 40 bps doubled stress plus fixed fee,Daily/weekly/monthly,M2 TOP7 CASH0 equal,Net; gross used in source table,A4D frequency scorecards,DETERMINISTIC_FORMAT_OR_EXACT_REPRODUCTION,f825062549de2c398e4cd4da39d6653a7e593bb94fc83b3fce070bd32175f6d9
5,figures/FIGURE_05_EQUITY_CURVES.png,"M2, SWDA and equal-pool equity curves",2017-03-01–2026-08-21,M2 baseline costs; benchmark reference paths,Monthly M2,M2 TOP7 CASH0 equal,Net M2 wealth,UKACTIVE_A4D_EQUITY_CURVES.parquet,DETERMINISTIC_FORMAT_OR_EXACT_REPRODUCTION,5f1572b5f6fcf764f5244123c154f019565394763b3f73ba77dc2adc3cded716
6,figures/FIGURE_06_DRAWDOWN_CURVES.png,Drawdown curves,2017-03-01–2026-08-21,M2 baseline costs; benchmark reference paths,Monthly M2,M2 TOP7 CASH0 equal,Net wealth drawdown,UKACTIVE_A4D_EQUITY_CURVES.parquet,DETERMINISTIC_FORMAT_OR_EXACT_REPRODUCTION,3dcd1a5831e3ea36bdef93e10032c421c4732a565569fe7da6ba3e704aa4e00e
7,figures/FIGURE_07_CALENDAR_YEAR_RETURNS.png,Calendar-year returns,2017-03-01–2026-08-21; 2017/2026 partial,Baseline,Monthly M2,"M2 TOP7, SWDA, 50/50, equal pool",Net,UKACTIVE_A4F_SIPP_YEAR_BY_YEAR_SCORECARD.csv,DETERMINISTIC_FORMAT_OR_EXACT_REPRODUCTION,51be34a61eb91826b2771ab26ad8f33526606c35c5c5e4cfee330cee582ed3f7
8,figures/FIGURE_08_ROLLING_EXCESS.png,Rolling excess returns,Rolling endpoints within 2017-03-01–2026-08-21,Baseline,Monthly,M2 TOP7 CASH0 equal,Compounded net excess,UKACTIVE_A4D_ROLLING_EXCESS_RESULTS.csv,DETERMINISTIC_FORMAT_OR_EXACT_REPRODUCTION,8eab758dcd0827feba0402a7a6a8fea18450d3850e34a77cd85a617573cbf599
9,figures/FIGURE_09_CONTRIBUTION_BY_FAMILY.png,Contribution by family,2017-03-01–2026-08-21,Before portfolio transaction costs,Monthly,M2 TOP7 CASH0 equal,Gross attribution,UKACTIVE_A4D_CONTRIBUTION_BY_FAMILY.csv,DETERMINISTIC_FORMAT_OR_EXACT_REPRODUCTION,2e52453b88ad21074f163f31888aaaf8ba1f720c99ec8bbbb40077cdb6b651c6
10,figures/FIGURE_10_CONTRIBUTION_BY_RANK.png,Contribution by rank bucket,2017-03-01–2026-08-21,Before portfolio transaction costs,Monthly,M2 TOP7 CASH0 equal,Gross attribution,UKACTIVE_A4D_CONTRIBUTION_BY_RANK.csv,DETERMINISTIC_FORMAT_OR_EXACT_REPRODUCTION,d74adcfcc2d61491512dfb85aed79310e36e5b66c5b2151dadcaa0823c08c42e
