review_date,selection_rule,selected_family_count,economic_exposure_family_id,economic_exposure_name,parent_exposure_family_id,overlap_cluster_id,a0_primary_geography,sector,industry,economic_theme,research_maturity,same_parent_count,same_overlap_cluster_count,warning
2021-08-31,TOP_1,1,GLOBAL_CYBERSECURITY,Global cybersecurity businesses,GLOBAL_TECHNOLOGY,OVL_TECHNOLOGY_INNOVATION,GLOBAL,TECHNOLOGY,CYBERSECURITY,CYBERSECURITY,MATURE,1,1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-09-30,TOP_1,1,GLOBAL_OIL_GAS,Global oil and gas equities,GLOBAL_ENERGY,OVL_ENERGY_AND_TRANSITION,GLOBAL,ENERGY,OIL_AND_GAS,OIL_AND_GAS,MATURE,1,1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-10-29,TOP_1,1,GLOBAL_OIL_GAS,Global oil and gas equities,GLOBAL_ENERGY,OVL_ENERGY_AND_TRANSITION,GLOBAL,ENERGY,OIL_AND_GAS,OIL_AND_GAS,MATURE,1,1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-11-30,TOP_1,1,GLOBAL_SEMICONDUCTORS,Global semiconductor value chain,GLOBAL_TECHNOLOGY,OVL_TECHNOLOGY_INNOVATION,GLOBAL,TECHNOLOGY,SEMICONDUCTORS,SEMICONDUCTORS,MATURE,1,1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-12-31,TOP_1,1,GLOBAL_SEMICONDUCTORS,Global semiconductor value chain,GLOBAL_TECHNOLOGY,OVL_TECHNOLOGY_INNOVATION,GLOBAL,TECHNOLOGY,SEMICONDUCTORS,SEMICONDUCTORS,MATURE,1,1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-01-31,TOP_1,1,GLOBAL_OIL_GAS,Global oil and gas equities,GLOBAL_ENERGY,OVL_ENERGY_AND_TRANSITION,GLOBAL,ENERGY,OIL_AND_GAS,OIL_AND_GAS,MATURE,1,1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-02-28,TOP_1,1,GLOBAL_OIL_GAS,Global oil and gas equities,GLOBAL_ENERGY,OVL_ENERGY_AND_TRANSITION,GLOBAL,ENERGY,OIL_AND_GAS,OIL_AND_GAS,MATURE,1,1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-03-31,TOP_1,1,GLOBAL_OIL_GAS,Global oil and gas equities,GLOBAL_ENERGY,OVL_ENERGY_AND_TRANSITION,GLOBAL,ENERGY,OIL_AND_GAS,OIL_AND_GAS,MATURE,1,1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-04-29,TOP_1,1,GLOBAL_OIL_GAS,Global oil and gas equities,GLOBAL_ENERGY,OVL_ENERGY_AND_TRANSITION,GLOBAL,ENERGY,OIL_AND_GAS,OIL_AND_GAS,MATURE,1,1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-05-31,TOP_1,1,GLOBAL_OIL_GAS,Global oil and gas equities,GLOBAL_ENERGY,OVL_ENERGY_AND_TRANSITION,GLOBAL,ENERGY,OIL_AND_GAS,OIL_AND_GAS,MATURE,1,1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
