audit_category_type,audit_label,coverage_outcome,existing_family_ids,research_ready_family_ids,registry_match_count,registry_match_ISINs,registry_match_tickers,new_product_added_to_master,manual_review_required,deepvue_controls_competition,evidence_basis,assessment_notes,warning
CONVENTIONAL_SECTOR_ROTATION,COMMUNICATION_SERVICES,COVERED_BY_EXISTING_FAMILY,CHINA_INTERNET;US_COMMUNICATION_SERVICES,CHINA_INTERNET;US_COMMUNICATION_SERVICES,13,IE000TMJDGV1;IE000V0GDVU7;IE00BFWFPX50;IE00BG7PP820;IE00BKWQ0N82;IE00BM67HR47;IE00BNC1G707;IE00BYTRRG40;LU0292104030,GXLC;SXLC;TELE;USCM;USCS;WTEL;XG11;XLCP;XLCS;XSKR;XSSW;XUCM;XWTS,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CONVENTIONAL_SECTOR_ROTATION,CONSUMER_DISCRETIONARY,COVERED_BY_EXISTING_FAMILY,GLOBAL_RETAIL,GLOBAL_RETAIL,10,IE000PEYL7P5;IE00B449XP68;IE00BGQYRR35;IE00BKWQ0C77;IE00BWBXM278;IE00BYTRR640,CDCE;CDIS;SXLY;USCD;USCO;WCOD;XLYP;XLYS;XSCD;XUCD,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CONVENTIONAL_SECTOR_ROTATION,CONSUMER_STAPLES,COVERED_BY_EXISTING_FAMILY,EUROPE_CONSUMER_STAPLES;GLOBAL_AGRIBUSINESS;US_CONSUMER_STAPLES,EUROPE_CONSUMER_STAPLES;GLOBAL_AGRIBUSINESS;US_CONSUMER_STAPLES,8,IE00B435BG20;IE00BGQYRQ28;IE00BKWQ0D84;IE00BWBXM385;IE00BYTRR756;LU0292105359,CSPE;CSTP;SXLP;WCOS;XLPP;XLPS;XS3R;XUCS,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CONVENTIONAL_SECTOR_ROTATION,ENERGY,COVERED_BY_EXISTING_FAMILY,EUROPE_ENERGY;GLOBAL_ENERGY;GLOBAL_OIL_GAS;GLOBAL_URANIUM_NUCLEAR,GLOBAL_ENERGY;GLOBAL_OIL_GAS;GLOBAL_URANIUM_NUCLEAR,48,CH0346134338;FR0010524777;FR0014002CG3;GB00B15KYB02;IE0008RX29L5;IE000AIFGRB9;IE000BLN64M9;IE000JNHCBM6;IE000JZYIUN0;IE000P3D0W60;IE000U58J0M1;IE000UDV9YG1;IE00B1XNHC34;IE00B42NKQ00;IE00B435CG94;IE00B8CJW150;IE00B94ZB998;IE00BCHWNS19;IE00BDBRT036;IE00BF4TWF63;IE00BK5BCH80;IE00BKWQ0F09;IE00BLRB0028;IE00BLRB0242;IE00BM67HM91;IE00BM8QRZ79;IE00BNC1F287;IE00BWBXM492;IE00BYTRR863;JE00B24DMD55,AIGE;BENE;CLMA;CLMP;ENEF;ENGE;ENGW;ENRU;ENTR;ETRA;EYED;GCED;GCEX;GCLE;GCLX;GXLE;IESU;INRA;INRG;ISUN;IUES;MLPP;MLPQ;NRJC;NRJL;NRJU;QCLN;QCLU;RAYS;RENG;RENW;SXLE;WDEE;WEEG;WNDE;WNDG;WNDI;WNDY;WNRG;WREN;WRNW;XDG7;XDW0;XLEP;XLES;XSEN;XUEN;XWES,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CONVENTIONAL_SECTOR_ROTATION,FINANCIALS,COVERED_BY_EXISTING_FAMILY,EUROPE_BANKS;EUROPE_FINANCIALS;GLOBAL_BANKS;GLOBAL_FINANCIALS;US_BANKS;US_FINANCIALS,EUROPE_BANKS;GLOBAL_FINANCIALS;US_BANKS;US_FINANCIALS,14,IE000KG7KXI7;IE00BCHWNT26;IE00BKWQ0G16;IE00BM67HL84;IE00BWBXM500;IE00BYTRR970;LU0292103651;LU0533033071,FINW;FNCE;FNCL;FNCW;GXLF;SXLF;USFN;USFS;WFIN;XDWF;XS7R;XSFN;XUFN;XWFS,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CONVENTIONAL_SECTOR_ROTATION,HEALTHCARE,COVERED_BY_EXISTING_FAMILY,EUROPE_HEALTHCARE;GLOBAL_BIOTECHNOLOGY;GLOBAL_GENOMICS;GLOBAL_HEALTHCARE;US_HEALTHCARE,GLOBAL_BIOTECHNOLOGY;GLOBAL_GENOMICS;US_HEALTHCARE,8,IE000B9PQW54;IE00BK5BC677;IE00BYZK4776;LU0292103222;LU1834986900,CH5;CURE;CURG;DOCG;DOCT;DRDR;HEAL;XSDR,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CONVENTIONAL_SECTOR_ROTATION,INDUSTRIALS,COVERED_BY_EXISTING_FAMILY,EUROPE_AEROSPACE_DEFENCE;EUROPE_INDUSTRIALS;EUROPE_INFRASTRUCTURE;GLOBAL_AEROSPACE_DEFENCE;GLOBAL_BATTERY_EV;GLOBAL_INDUSTRIALS;GLOBAL_INFRASTRUCTURE;GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_SPACE;GLOBAL_TRANSPORTATION;GLOBAL_WATER;US_AEROSPACE_DEFENCE,EUROPE_AEROSPACE_DEFENCE;EUROPE_INFRASTRUCTURE;GLOBAL_AEROSPACE_DEFENCE;GLOBAL_BATTERY_EV;GLOBAL_INDUSTRIALS;GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_TRANSPORTATION;GLOBAL_WATER,7,IE00BCHWNV48;IE00BKWQ0J47;IE00BM67HV82;IE00BWBXM724;IE00BYTRRC02;LU0292106084,NDUS;SXLI;WNDU;XDWI;XSNR;XUIN;XWIS,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CONVENTIONAL_SECTOR_ROTATION,MATERIALS,COVERED_BY_EXISTING_FAMILY,EUROPE_MATERIALS;GLOBAL_GOLD_MINERS;GLOBAL_MATERIALS;GLOBAL_SILVER_MINERS,GLOBAL_GOLD_MINERS;GLOBAL_MATERIALS;GLOBAL_SILVER_MINERS,11,IE000544AJM3;IE000FP52WM7;IE00B3XM3R14;IE00BKWQ0L68;IE00BM67HS53;IE00BWBXM831;IE00BYTRRF33;LU0292100806,DMAD;DMAG;DMAT;MTRL;SXLB;WMAT;XDWM;XLBP;XLBS;XSMW;XSPR,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CONVENTIONAL_SECTOR_ROTATION,REAL_ESTATE,COVERED_BY_EXISTING_FAMILY,GLOBAL_REAL_ESTATE,GLOBAL_REAL_ESTATE,4,IE00BYM8JD58;LU0489337690;NL0009690239,TREG;TRET;XDER;XREP,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CONVENTIONAL_SECTOR_ROTATION,TECHNOLOGY,COVERED_BY_EXISTING_FAMILY,EUROPE_TECHNOLOGY;GLOBAL_AI;GLOBAL_CYBERSECURITY;GLOBAL_QUANTUM_COMPUTING;GLOBAL_SEMICONDUCTORS;GLOBAL_SOFTWARE;GLOBAL_TECHNOLOGY;US_AI,GLOBAL_AI;GLOBAL_CYBERSECURITY;GLOBAL_QUANTUM_COMPUTING;GLOBAL_SEMICONDUCTORS;GLOBAL_SOFTWARE,10,IE00BKPJY434;IE00BKWQ0K51;IE00BM8R0N95;IE00BWBXM948;IE00BYTRRD19;LU2265794276,CHTU;GNOG;GNOM;GXLK;ITEC;KSTP;KSTR;SXLK;TECW;WTEC,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CONVENTIONAL_SECTOR_ROTATION,UTILITIES,COVERED_BY_EXISTING_FAMILY,EUROPE_UTILITIES;GLOBAL_CLEAN_ENERGY;GLOBAL_SOLAR;GLOBAL_UTILITIES,GLOBAL_CLEAN_ENERGY;GLOBAL_SOLAR;GLOBAL_UTILITIES,8,IE00B3VPKB53;IE00BKWQ0P07;IE00BM67HQ30;IE00BWBXMB69;IE00BYTRRH56;LU0292104899,SXLU;UTIL;WUTI;XDWU;XLUP;XLUS;XS6R;XWUS,NO,NO,NO,A0A1_MASTER|A0A1_DISCOVERY_REGISTRY|A3R0_LINEAGE_CONTROL,Coverage means at least one clean family; it does not imply a complete global/Europe/US sector grid,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
DEEPVUE_CONFIRMED_LABEL,AI,COVERED_BY_EXISTING_FAMILY,GLOBAL_AI;US_AI,GLOBAL_AI,39,IE0000XTDDA8;IE0003A512E4;IE00043ZI3D8;IE000DWHL026;IE000G0E83X3;IE000IM4K4K2;IE000JBZXFH0;IE000LCKJ888;IE000LGWDNE5;IE000MS76E73;IE000Q9W2IR3;IE000RYWBSX8;IE000WUTBLT5;IE000X59ZHE2;IE000XHZP7D3;IE000YIQZ0H6;IE00BDVPNG13;IE00BGV5VN51;IE00BK5BCD43;IE00BLCHJB90;IE00BLCHJC08;XS2779861751;XS3299464951;XS3299469919;XS3408769977,AI3;AIAA;AIAG;AIAI;AINF;AIPG;AIPO;AIQG;AIQU;AIS3;ANDO;ARCI;ARIY;ARKI;BOTG;BOTZ;FGPT;FTAI;GPT3;GPTS;IAIX;IART;IVAI;METE;METU;PAIG;PDWD;PDWX;PQUS;PQWD;PQWP;PQWX;WAGB;WAGI;WPAI;WTAI;XAID;XAIX;YARI,NO,NO,NO,A0A1_DEEPVUE_CROSSWALK|A0A1_DISCOVERY_REGISTRY|TARGETED_PUBLIC_SEARCH_WHERE_NEEDED,Mapped families: GLOBAL_AI;US_AI; research-ready after A3R0 lineage control: GLOBAL_AI,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
