economic_exposure_family_id,economic_exposure_name,universe_tier,opportunity_type,asset_class,sub_asset_class,a0_primary_geography,a0_geographic_scope,sector,industry,economic_theme,deepvue_theme,intended_rotation_role,primary_rotation_role,rotation_pool_id,primary_competition_pool_id,parent_exposure_family_id,secondary_parent_exposure_family_id,overlap_cluster_id,overlap_basis,breadth_level,economic_beta_cluster,selectable_flag,benchmark_only_flag,primary_equity_competition_flag,research_data_ready_flag,a2_lineage_validation_status,a2_lineage_issue,valid_return_observations,first_valid_date,last_valid_date,research_maturity,shorter_than_504_observations,recovered_by_dynamic_admission,data_quality_flags,dynamic_admission_rule,current_eligibility_back_projected,warning,raw_earliest_valid_21_session_signal_date,earliest_valid_21_session_signal_date,eligible_21_session_research,raw_earliest_valid_42_session_signal_date,earliest_valid_42_session_signal_date,eligible_42_session_research,raw_earliest_valid_63_session_signal_date,earliest_valid_63_session_signal_date,eligible_63_session_research,raw_earliest_valid_126_session_signal_date,earliest_valid_126_session_signal_date,eligible_126_session_research,raw_earliest_valid_252_session_signal_date,earliest_valid_252_session_signal_date,eligible_252_session_research
ASIA_PACIFIC_EX_JAPAN,Asia-Pacific equities excluding Japan,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,ASIA_PACIFIC_EX_JAPAN,REGION,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BROAD_GEOGRAPHY_ROTATION,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,POOL_REGIONAL_SATELLITES,GLOBAL_ALL_WORLD,NOT_APPLICABLE,OVL_EMERGING_ASIA_EQUITY,COMMON_GEOGRAPHIC_BETA,BROAD_REGION,BETA_GLOBAL_OR_OTHER_EQUITY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,2272,2016-11-10,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2017-07-19,2017-07-19,YES,2017-08-17,2017-08-17,YES,2017-09-21,2017-09-21,YES,2017-12-29,2017-12-29,YES,2018-07-04,2018-07-04,YES
AUSTRALIA,Broad Australian equities,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,AUSTRALIA,SINGLE_COUNTRY,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,COUNTRY_ROTATION,INSUFFICIENT_DATA,POOL_COUNTRY_ROTATION,POOL_INSUFFICIENT_DATA,DEVELOPED_ASIA_PACIFIC,GLOBAL_DEVELOPED_WORLD,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,SINGLE_COUNTRY,BETA_GLOBAL_OR_OTHER_EQUITY,NO,NO,NO,NO,FAIL_MATERIAL_MISCLASSIFICATION,A2 canonical history is almost entirely a GBP-hedged share class although A0A1 family is unhedged,2640,2015-12-08,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;MATERIAL_A2_ECONOMIC_LINEAGE_MISMATCH;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2016-01-08,,NO,2016-02-08,,NO,2016-03-08,,NO,2016-06-09,,NO,2016-12-05,,NO
BROAD_COMMODITIES,Broad diversified commodity basket,EXPERIMENTAL,DEFENSIVE_DIVERSIFIER,COMMODITY,BROAD_COMMODITY_ETC_ETF,GLOBAL,GLOBAL_COMMODITY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DEFENSIVE_REFERENCE,DEFENSIVE_REFERENCE,POOL_DEFENSIVE_REAL_ASSETS,POOL_DEFENSIVE_REAL_ASSETS,NOT_APPLICABLE,NOT_APPLICABLE,OVL_BROAD_COMMODITIES,BROAD_INDEX_VERSUS_COMPONENTS,DEFENSIVE_ASSET,BETA_REAL_ASSET,YES,NO,NO,YES,PASS,NOT_APPLICABLE,4711,2007-03-26,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2007-04-27,2007-04-27,YES,2007-06-04,2007-06-04,YES,2007-07-09,2007-07-09,YES,2007-10-12,2007-10-12,YES,2008-04-30,2008-04-30,YES
CANADA,Broad Canadian equities,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,CANADA,SINGLE_COUNTRY,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,COUNTRY_ROTATION,COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,POOL_COUNTRY_ROTATION,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,SINGLE_COUNTRY,BETA_GLOBAL_OR_OTHER_EQUITY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,3530,2010-09-20,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2011-04-14,2011-04-14,YES,2011-06-03,2011-06-03,YES,2011-07-20,2011-07-20,YES,2011-11-17,2011-11-17,YES,2012-11-26,2012-11-26,YES
CHINA_A_SHARES,Mainland China A-shares,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,CHINA,SINGLE_COUNTRY,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,COUNTRY_ROTATION,COUNTRY_ROTATION,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,CHINA_BROAD,EMERGING_MARKETS,OVL_CHINA_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,SINGLE_COUNTRY,BETA_EMERGING_ASIA_EQUITY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,3137,2014-02-06,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2014-03-06,2014-03-06,YES,2014-04-04,2014-04-04,YES,2014-05-08,2014-05-08,YES,2014-08-06,2014-08-06,YES,2015-02-04,2015-02-04,YES
CHINA_BROAD,Broad China equities,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,CHINA,SINGLE_COUNTRY,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,COUNTRY_ROTATION,INSUFFICIENT_DATA,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,POOL_INSUFFICIENT_DATA,EMERGING_MARKETS,GLOBAL_ALL_WORLD,OVL_CHINA_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,SINGLE_COUNTRY,BETA_EMERGING_ASIA_EQUITY,NO,NO,NO,NO,FAIL_MATERIAL_MISCLASSIFICATION,A2 canonical history is overwhelmingly China A-shares and duplicates CHINA_A_SHARES rather than broad China,2840,2014-09-12,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;MATERIAL_A2_ECONOMIC_LINEAGE_MISMATCH;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2014-10-10,,NO,2014-11-10,,NO,2014-12-09,,NO,2015-03-19,,NO,2015-10-06,,NO
CHINA_BROAD_USD_HEDGED,Broad China equities hedged to USD,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,CHINA,SINGLE_COUNTRY,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,COUNTRY_ROTATION,INSUFFICIENT_DATA,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,POOL_INSUFFICIENT_DATA,CHINA_BROAD,NOT_APPLICABLE,OVL_CHINA_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,SINGLE_COUNTRY,BETA_EMERGING_ASIA_EQUITY,NO,NO,NO,NO,NO_USABLE_HISTORY,NO_USABLE_IMPLEMENTATION_HISTORY,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE_NO_USABLE_HISTORY,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE;NO_USABLE_HISTORY,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,,,NO,,,NO,,,NO,,,NO,,,NO
CHINA_INTERNET,China internet and digital economy,EXPERIMENTAL,THEMATIC,EQUITY,THEMATIC_EQUITY,CHINA,SINGLE_COUNTRY,COMMUNICATION_SERVICES,INTERNET_SERVICES,CHINA_INTERNET,China Internet,THEME_ROTATION,THEME_ROTATION,POOL_CHINA_THEMES,POOL_CHINA_THEMES,CHINA_BROAD,EMERGING_ASIA,OVL_TECHNOLOGY_INNOVATION,STRONG_PARENT_CHILD_OR_THEMATIC_OVERLAP,THEME,BETA_COMMUNICATION_SERVICES,YES,NO,YES,YES,PASS,NOT_APPLICABLE,1462,2020-10-06,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2020-11-03,2020-11-03,YES,2020-12-02,2020-12-02,YES,2021-01-06,2021-01-06,YES,2021-04-07,2021-04-07,YES,2021-10-08,2021-10-08,YES
DEVELOPED_ASIA_PACIFIC,Developed Asia-Pacific equities,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,DEVELOPED_ASIA_PACIFIC,REGION,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BROAD_GEOGRAPHY_ROTATION,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,POOL_BROAD_GEOGRAPHY_PRIMARY,GLOBAL_DEVELOPED_WORLD,NOT_APPLICABLE,OVL_GLOBAL_BROAD_EQUITY,BROAD_INDEX_VERSUS_NARROW_SUBSET,BROAD_REGION,BETA_GLOBAL_OR_OTHER_EQUITY,YES,NO,YES,YES,PASS_WITH_SCOPE_LIMITATION,Implementation is developed Pacific ex-Japan; effective scope must be displayed explicitly,4155,2009-09-29,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE;SCOPE_LIMITED_IMPLEMENTATION,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2009-11-02,2009-11-02,YES,2009-12-07,2009-12-07,YES,2010-01-21,2010-01-21,YES,2010-04-29,2010-04-29,YES,2010-12-02,2010-12-02,YES
EMERGING_ASIA,Emerging Asian equities,EXTENDED,GEOGRAPHY,EQUITY,BROAD_MARKET_EQUITY,EMERGING_ASIA,REGION,BROAD_MARKET,BROAD_MARKET,NOT_APPLICABLE,NOT_APPLICABLE,BROAD_GEOGRAPHY_ROTATION,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,POOL_REGIONAL_SATELLITES,EMERGING_MARKETS,NOT_APPLICABLE,OVL_EMERGING_ASIA_EQUITY,COMMON_GEOGRAPHIC_BETA,BROAD_REGION,BETA_EMERGING_ASIA_EQUITY,YES,NO,YES,YES,PASS,NOT_APPLICABLE,3362,2010-10-26,2026-08-21,MATURE,NO,NO,HISTORICAL_ELIGIBILITY_UNRESOLVED;NOT_APPLICABLE,L_CUMULATIVE_VALID_A2_OBSERVATIONS_NO_STALE_MISSING_PROXY,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2012-07-30,2012-07-30,YES,2013-05-20,2013-05-20,YES,2013-06-19,2013-06-19,YES,2013-09-17,2013-09-17,YES,2014-03-17,2014-03-17,YES
