module_id,work_package,module_family,management_frequency,preregistration_class,definition,status_before_run,combination_eligible,warning
A4B_BASELINE_MONTHLY,A4B0,BASELINE,MONTHLY_ONLY,FROZEN_A4_SOURCE_EDGE,"Industry+theme slow rank1, 100% risky, monthly",REGISTERED,YES,"E2 DEVELOPMENTAL; NO E3"
A4B_STARTER_A_WEEKLY,A4B1,SCALE_IN,WEEKLY,PRIMARY_PREDECLARED,"25/50/75/100 challenger ladder; incumbent need not weaken",REGISTERED,YES,"E2 DEVELOPMENTAL; NO E3"
A4B_STARTER_B_WEEKLY,A4B1,SCALE_IN,WEEKLY,PRIMARY_PREDECLARED,"Same ladder; starter requires incumbent WEAKENING",REGISTERED,YES,"E2 DEVELOPMENTAL; NO E3"
A4B_STARTER_A_MONTHLY,A4B1,SCALE_IN,MONTHLY_ONLY,CONTROL,"Starter A sampled monthly",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
A4B_STARTER_B_MONTHLY,A4B1,SCALE_IN,MONTHLY_ONLY,CONTROL,"Starter B sampled monthly",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
A4B_FAST_TAPER_WEEKLY,A4B2,EXIT,WEEKLY,PRIMARY_PREDECLARED,"100/75/50/0 state taper",REGISTERED,YES,"E2 DEVELOPMENTAL; NO E3"
A4B_FAST_TAPER_MONTHLY,A4B2,EXIT,MONTHLY_ONLY,CONTROL,"Fast taper sampled monthly",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
A4B_MFE_LOCK_WEEKLY,A4B2,PROFIT_LOCK,WEEKLY,PRIMARY_PREDECLARED,"MFE>=10%; 25%/50% give-back plus deterioration",REGISTERED,YES,"E2 DEVELOPMENTAL; NO E3"
A4B_MFE_LOCK_MONTHLY,A4B2,PROFIT_LOCK,MONTHLY_ONLY,CONTROL,"MFE give-back lock sampled monthly",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
A4B_STRENGTH_HARVEST_WEEKLY,A4B2,PROFIT_HARVEST,WEEKLY,PRIMARY_PREDECLARED,"One 25% trim at +20% and prior-expanding Q90 extension",REGISTERED,YES,"E2 DEVELOPMENTAL; NO E3"
A4B_STRENGTH_HARVEST_MONTHLY,A4B2,PROFIT_HARVEST,MONTHLY_ONLY,CONTROL,"Strength harvest sampled monthly",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
A4B_STRENGTH_DECEL_WEEKLY,A4B2,PROFIT_HARVEST,WEEKLY,PRIMARY_PREDECLARED,"Strength trim additionally requires fast/regime deceleration",REGISTERED,YES,"E2 DEVELOPMENTAL; NO E3"
A4B_STRENGTH_DECEL_MONTHLY,A4B2,PROFIT_HARVEST,MONTHLY_ONLY,CONTROL,"Strength plus deceleration sampled monthly",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
A4B_REGIME_BINARY_WEEKLY,A4B3,REGIME,WEEKLY,PRIMARY_PREDECLARED,"HOSTILE 0; all other states 1",REGISTERED,YES,"E2 DEVELOPMENTAL; NO E3"
A4B_REGIME_GRADUAL_WEEKLY,A4B3,REGIME,WEEKLY,PRIMARY_PREDECLARED,"1/1/.75/.50/0 multiplier ladder",REGISTERED,YES,"E2 DEVELOPMENTAL; NO E3"
A4B_REGIME_HOSTILE25_WEEKLY,A4B3,REGIME,WEEKLY,ROBUSTNESS,"Gradual ladder with HOSTILE .25",REGISTERED,YES,"E2 DEVELOPMENTAL; NO E3"
A4B_REGIME_BINARY_MONTHLY,A4B3,REGIME,MONTHLY_ONLY,CONTROL,"Binary regime sampled monthly",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
A4B_REGIME_GRADUAL_MONTHLY,A4B3,REGIME,MONTHLY_ONLY,CONTROL,"Gradual regime sampled monthly",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
A4B_REGIME_HOSTILE25_MONTHLY,A4B3,REGIME,MONTHLY_ONLY,CONTROL,"Hostile .25 sensitivity sampled monthly",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
A4B_COMBINATION_GATE,A4B4,COMBINATION,WEEKLY,SEQUENTIAL_GATE,"Only strongest qualifying scale-in, one exit/profit module and regime module",REGISTERED,CONDITIONAL,"E2 DEVELOPMENTAL; NO E3"
A4B_STATE_LOOSER,A4B5,STATE_ROBUSTNESS,WEEKLY,ROBUSTNESS,"Single frozen looser state neighbourhood",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
A4B_STATE_TIGHTER,A4B5,STATE_ROBUSTNESS,WEEKLY,ROBUSTNESS,"Single frozen tighter state neighbourhood",REGISTERED,NO,"E2 DEVELOPMENTAL; NO E3"
