module_id,module_decision,decision_reason,evidence_level,warning
A4_BASELINE_MONTHLY,BASELINE_REFERENCE_ONLY,EXACTLY_REPRODUCED_BUT_FAILS_MINUS25_DRAWDOWN_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
A4_BASELINE_WEEKLY_CONTROL,REJECTED_OR_REDUNDANT_CONTROL,DID_NOT_PASS_SEQUENTIAL_PROMOTION_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,REJECTED_OR_REDUNDANT_CONTROL,DID_NOT_PASS_SEQUENTIAL_PROMOTION_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_WEEKLY,SECONDARY_INCREMENTAL_RETURN_ONLY,POSITIVE_EARLY_ENTRY_VALUE_BUT_NO_DRAWDOWN_IMPROVEMENT_AND_FAILS_HARD_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_MONTHLY,REJECTED_OR_REDUNDANT_CONTROL,DID_NOT_PASS_SEQUENTIAL_PROMOTION_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_MONTHLY,REJECTED_OR_REDUNDANT_CONTROL,DID_NOT_PASS_SEQUENTIAL_PROMOTION_GATE,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,REJECTED,RETURN_AND_RIGHT_TAIL_DAMAGE_OUTWEIGH_DRAWDOWN_EFFECT,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_MONTHLY,REJECTED,RETURN_AND_RIGHT_TAIL_DAMAGE_OUTWEIGH_DRAWDOWN_EFFECT,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_MFE_GIVEBACK_LOCK_WEEKLY,REJECTED,RETURN_AND_RIGHT_TAIL_DAMAGE_OUTWEIGH_DRAWDOWN_EFFECT,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_MFE_GIVEBACK_LOCK_MONTHLY,REJECTED,RETURN_AND_RIGHT_TAIL_DAMAGE_OUTWEIGH_DRAWDOWN_EFFECT,E2_DEVELOPMENTAL,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
