item_id,severity,category,economic_exposure_family_id,issue,impact,required_resolution,status
A2-OPEN-001,HIGH,HISTORICAL_ELIGIBILITY,ALL_ROUTED_FAMILIES,"Historical UK retail, ISA and SIPP eligibility is not contemporaneously verified for the implementation histories.","A3 may use the panel for research-only signal discovery, but it may not label results an investable point-in-time backtest without further evidence.",Acquire dated KIDs/platform eligibility archives or a defensible historical eligibility source.,OPEN_VISIBLE_NOT_BACK_PROJECTED
A2-OPEN-002,MEDIUM,BROKER,ALL,IBKR availability remains NOT_CHECKED; historical broker availability is not established.,Does not block A3 research; blocks DEPLOYMENT_CANDIDATE status.,Use a safe exact-ISIN read-only broker route before deployment research.,OPEN_NOT_BLOCKING_A3
A2-OPEN-003,MEDIUM,PROXY_HISTORY,MULTIPLE,13 A0A1 families have fewer than 504 validated implementation observations and would require a separate proxy for longer mechanism research.,Those families are not A3-ready under the declared 504-observation rule.,Acquire licensed index/benchmark histories and keep them in ECONOMIC_EXPOSURE_PROXY_HISTORY without splicing.,OPEN_PROXY_PANEL_INTENTIONALLY_EMPTY
A2-OPEN-004,MEDIUM,SURVIVORSHIP,MULTIPLE,The delisted LSE catalogue contains many historical ETF/ETP rows; A2 classified only exact-ISIN overlaps with the authoritative A0A1 share classes.,"Four exact-lineage non-survivor listings are preserved, but this is not a complete historical UK ETF product census.",Classify the broader delisted catalogue against dated fund documents in a later eligibility-enrichment pass.,OPEN_PARTIAL_SURVIVORSHIP_CONTROL
A2-OPEN-005,LOW,CALENDAR,ALL,"The historical XLON calendar is an observed-session union from exact-identity listings; the vendor holiday endpoint provides current-year corroboration, not a full official archive.","Session mapping is deterministic and same-close-safe, but rare vendor-wide missing days may be indistinguishable from holidays.",License or ingest a complete official XLON historical session calendar.,OPEN_WITH_DIAGNOSTICS
A2-OPEN-006,MEDIUM,DATA_VENDOR,ALL,EODHD documents adjusted close as split-and-dividend adjusted but describes its prices as indicative rather than an official exchange feed.,"The route is validated with explicit events, FX pairs and Yahoo overlaps, but licensing and institutional-grade redistribution remain separate questions.",Evaluate an official/licensed total-return data route before deployment-grade research.,OPEN_SOURCE_LIMITATION
A2-OPEN-007,LOW,CASH,ACTUAL_GBP_CASH,SONIA is a wholesale overnight benchmark and the constructed series is not a claim about any broker's client cash remuneration.,"Suitable as a documented research cash proxy, not as an account-specific rate.",Model broker/client-specific cash rates only if later deployment research requires them.,OPEN_EXPECTED_LIMITATION
A2-OPEN-008,MEDIUM,SOURCE_ROUTE,ALL,Direct automated Bank of England IADB CSV access returned HTTP 403 in this environment; FRED's Bank of England mirror was used for IUDSOIA and IUDZOS2.,"Series identity remains official BoE, but the executed data route is a secondary mirror and is recorded as such.",Add a stable direct BoE API/download route if available.,OPEN_ROUTE_LIMITATION
A2-OPEN-101,MEDIUM,NO_EXACT_PRICE_ROUTE,CHINA_BROAD_USD_HEDGED,No active or delisted EODHD LSE route matched both A0A1 ticker and ISIN.,No authoritative implementation history was constructed for this family.,Resolve through issuer/LSE identity evidence and an alternative price source; ticker-only matches are forbidden.,OPEN
A2-OPEN-102,HIGH,NO_EXACT_PRICE_ROUTE,GBP_OVERNIGHT_CASH,No active or delisted EODHD LSE route matched both A0A1 ticker and ISIN.,No authoritative implementation history was constructed for this family.,Resolve through issuer/LSE identity evidence and an alternative price source; ticker-only matches are forbidden.,OPEN
A2-OPEN-103,MEDIUM,NO_EXACT_PRICE_ROUTE,GLOBAL_SPACE,No active or delisted EODHD LSE route matched both A0A1 ticker and ISIN.,No authoritative implementation history was constructed for this family.,Resolve through issuer/LSE identity evidence and an alternative price source; ticker-only matches are forbidden.,OPEN
A2-OPEN-104,MEDIUM,NO_EXACT_PRICE_ROUTE,LATIN_AMERICA,No active or delisted EODHD LSE route matched both A0A1 ticker and ISIN.,No authoritative implementation history was constructed for this family.,Resolve through issuer/LSE identity evidence and an alternative price source; ticker-only matches are forbidden.,OPEN
A2-OPEN-105,MEDIUM,NO_EXACT_PRICE_ROUTE,UK_GILTS_LONG,No active or delisted EODHD LSE route matched both A0A1 ticker and ISIN.,No authoritative implementation history was constructed for this family.,Resolve through issuer/LSE identity evidence and an alternative price source; ticker-only matches are forbidden.,OPEN
A2-OPEN-106,MEDIUM,NO_EXACT_PRICE_ROUTE,US_AI,No active or delisted EODHD LSE route matched both A0A1 ticker and ISIN.,No authoritative implementation history was constructed for this family.,Resolve through issuer/LSE identity evidence and an alternative price source; ticker-only matches are forbidden.,OPEN
A2-OPEN-107,MEDIUM,NO_EXACT_PRICE_ROUTE,US_TOTAL_MARKET_GBP_HEDGED,No active or delisted EODHD LSE route matched both A0A1 ticker and ISIN.,No authoritative implementation history was constructed for this family.,Resolve through issuer/LSE identity evidence and an alternative price source; ticker-only matches are forbidden.,OPEN
A2-OPEN-108,HIGH,A0A1_LINEAGE_CONTRADICTION,GLOBAL_CORPORATE_IG_GBP_HEDGED,A0A1 hedge classification contradiction for SC-0F94FB539A60CBE9: GLOBAL_CORPORATE_IG_GBP_HEDGED|UNHEDGED,The share class is excluded from the hedged-family canonical selection pending correction.,"Verify fund objective and hedge currency, then issue a versioned A0A1 lineage correction.",OPEN_EXCLUDED_FROM_SELECTION
A2-OPEN-109,HIGH,A0A1_LINEAGE_CONTRADICTION,GLOBAL_CORPORATE_IG_GBP_HEDGED,A0A1 hedge classification contradiction for SC-11DD822A66B9CE0D: GLOBAL_CORPORATE_IG_GBP_HEDGED|UNHEDGED,The share class is excluded from the hedged-family canonical selection pending correction.,"Verify fund objective and hedge currency, then issue a versioned A0A1 lineage correction.",OPEN_EXCLUDED_FROM_SELECTION
