assumption,rationale,affected_stage,potential_bias,direction_of_possible_bias,mitigation,residual_limitation
Economic family is the ranked unit,Suppresses ticker/share-class duplication,A0/A1 onward,Taxonomy error can merge or split exposures,AMBIGUOUS,Documented master and duplicate groups,Taxonomy remains judgemental
Adjusted close accepted after validation,Creates total-return-like wealth histories,A2 onward,Vendor adjustments or missed events can bias returns,AMBIGUOUS,Distribution/event and overlapping-source checks,Not every event was independently reconstructed
GBP/GBX unit conversion is explicit,GBX quotes are one-hundredth of GBP,A2 onward,A unit mistake would be catastrophic,UPWARD_OR_DOWNWARD,Automated currency/unit tests,Source metadata can still be wrong
Foreign lines converted to GBP once,Measures UK-investor wealth consistently,A2 onward,FX alignment error can bias relative returns,AMBIGUOUS,ECB pair validation and same-date conversion,Unhedged economic currency exposure remains
No forward filling across gaps,Prevents invented tradability and returns,A2R2 onward,May reduce sample and exclude temporarily missing families,PROBABLY_DOWNWARD_OR_NEUTRAL,Invalid endpoints become missing; >3-session gaps reset,Missingness may be non-random
Historical endpoint may use nearest prior true XLON session within three sessions,Accommodates genuine non-trading dates without look-ahead,A2R2 onward,Stale endpoints may soften measured moves,AMBIGUOUS,Never future; tolerance logged,Different local-market holidays remain
Current broker availability is current-only,Avoids back-projecting 2026 account state,A3R2U/A4/A5C,Historical implementability may be overstated,PROBABLY_UPWARD,Historical eligibility kept separate and disclosed,Complete past UK retail/SIPP availability is unresolved
Unresolved/closed instrument receives no invented proxy,Preserves economic identity,A2R onward,Reduces breadth/history,PROBABLY_DOWNWARD_OR_NEUTRAL,Exclude or allocate unavailable live slot to CSH2,Closure timing and substitute quality remain uncertain
Historical cash uses time-varying GBP overnight rates,Avoids constant-yield hindsight,A2 onward,Proxy/basis differences can affect defence comparisons,AMBIGUOUS,SONIA series checked against compounded index,RLON/CSH2 live tracking differs from proxy
Execution at first following valid XLON session,Enforces causal separation from signal close,A4 onward,Opening/market execution can differ from close-to-close proxy,AMBIGUOUS,No same-close; three-session window; cost stress,Intraday implementation shortfall remains
20 bps one-way market friction,Conservative common execution assumption,A4D onward,May over- or understate realised spread/impact,AMBIGUOUS,Doubled-cost tests and live cost restatement,No canonical structured spot-spread sample
TER is not deducted a second time,Adjusted market prices already reflect fund expenses,A5C,Double deduction would bias performance downward,PROBABLY_DOWNWARD_IF_VIOLATED,Frozen cost contract,Tracking difference can deviate from TER
Subscription is separated from incremental M2 cost,The platform plan supports the whole account,A5C,Attribution is account-specific,AMBIGUOUS,Both subscription-separate and included results shown,Future plan/fees may change
