economic_theme,definition,current_family_ids,family_count,evidence_basis_required,deepvue_exact_labels,retain_only_if_coherent_investable_exposure,taxonomy_version,warning
AGRIBUSINESS,Agricultural inputs and food value chain,GLOBAL_AGRIBUSINESS,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,NOT_APPLICABLE,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
AI,Artificial-intelligence value chain,GLOBAL_AI;US_AI,2,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,AI,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
BATTERY_EV,Battery and electric-vehicle value chain,GLOBAL_BATTERY_EV,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,NOT_APPLICABLE,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
BIOTECHNOLOGY,Biotechnology industry,GLOBAL_BIOTECHNOLOGY,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Biotechnology,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CHINA_INTERNET,China internet and digital economy,CHINA_INTERNET,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,China Internet,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CLEAN_ENERGY,Clean-energy value chain,GLOBAL_CLEAN_ENERGY,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,NOT_APPLICABLE,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
CYBERSECURITY,Global cybersecurity businesses,GLOBAL_CYBERSECURITY,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Cybersecurity,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
DEFENCE,Aerospace and defence businesses,EUROPE_AEROSPACE_DEFENCE;GLOBAL_AEROSPACE_DEFENCE;US_AEROSPACE_DEFENCE,3,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Aerospace,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GENOMICS,Genomics and genomic medicine,GLOBAL_GENOMICS,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Genomics,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GOLD_MINERS,Global gold-mining equities,GLOBAL_GOLD_MINERS,1,INDEX_METHODOLOGY_OR_FUND_OBJECTIVE_PLUS_HOLDINGS_WHERE_AMBIGUOUS,Gold Miners,YES,UKACTIVE-CLASSIFICATION-v1.0.0,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
