claim_id,paper_section,claim_or_metric,source_stage,source_file,source_table_or_field,source_commit,sample_start,sample_end,metric_definition,status,reconciliation_note
LIN-A0-A1,3 Research lineage and decision chronology,A0/A1: DATA_FOUNDATION_ONLY,A0/A1,UKACTIVE_A0A1_DECISION.json,final decision/disposition fields,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Chronological programme disposition,RECONCILED,
LIN-A2,3 Research lineage and decision chronology,A2: CONDITIONAL_READY,A2,UKACTIVE_A2_DECISION.json,final decision/disposition fields,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Chronological programme disposition,RECONCILED,
LIN-A3R0,3 Research lineage and decision chronology,A3R0: FAIL_BLOCKED,A3R0,UKACTIVE_A3R0_DECISION.json,final decision/disposition fields,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Chronological programme disposition,RECONCILED,
LIN-A2R,3 Research lineage and decision chronology,A2R: PASS_WITH_ONE_EXCLUSION,A2R,UKACTIVE_A2R_DECISION.json,final decision/disposition fields,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Chronological programme disposition,RECONCILED,
LIN-A3R1,3 Research lineage and decision chronology,A3R1: FAIL_BLOCKED,A3R1,UKACTIVE_A3R1_DECISION.json,final decision/disposition fields,fc5d2b1e31d6a335f20c5d68bea7787a0911e982,,,Chronological programme disposition,RECONCILED,
LIN-A2R2,3 Research lineage and decision chronology,A2R2: PASS,A2R2,UKACTIVE_A2R2_DECISION.json,final decision/disposition fields,0a5d32896e777c806dd3485650da1cd4d7660832,,,Chronological programme disposition,RECONCILED,
LIN-A3R1R1,3 Research lineage and decision chronology,A3R1R1: NO_FDR_SURVIVOR,A3R1R1,UKACTIVE_A3R1R1_DECISION.json,final decision/disposition fields,c30de89d0ceee74ea024708e7c95270bae38d150,,,Chronological programme disposition,RECONCILED,
LIN-A3R2-U-S-W-Q,3 Research lineage and decision chronology,A3R2/U/S/W/Q: EXPLORATORY_LEAD_ONLY,A3R2/U/S/W/Q,UKACTIVE_A3R2_DECISION.json,final decision/disposition fields,32e6388a02689fd932b348aa20695f93c6199d5e,,,Chronological programme disposition,RECONCILED,
LIN-A4,3 Research lineage and decision chronology,A4: RIGHT_TAIL_DEPENDENT,A4,UKACTIVE_A4_DECISION.json,final decision/disposition fields,29c2d14a347f4bc323119fe13ca4a3fb9ddc6fd7,,,Chronological programme disposition,RECONCILED,
LIN-A4B-A4C,3 Research lineage and decision chronology,A4B/A4C: NO_EXIT_OR_REGIME_PROMOTION,A4B/A4C,UKACTIVE_A4C_DECISION.json,final decision/disposition fields,1802820f9a4201847b13c7526b5170e27309983a,,,Chronological programme disposition,RECONCILED,
LIN-A4D,3 Research lineage and decision chronology,A4D: SELECT_M2_TOP7_MONTHLY_CASH0_EQUAL,A4D,UKACTIVE_A4D_DECISION.json,final decision/disposition fields,f411e0d169640a5120decee6940dc8a5769c3b5e,,,Chronological programme disposition,RECONCILED,
LIN-A4E-SIPP,3 Research lineage and decision chronology,A4E-SIPP: STATIC_75_25_CONTROL_ONLY,A4E-SIPP,UKACTIVE-A4E-SIPP/UKACTIVE_A4E_SIPP_DECISION.json,final decision/disposition fields,6eef0e413a2ee269bd5748cb244ce4f19577723a,,,Chronological programme disposition,RECONCILED,
LIN-A4F-SIPP,3 Research lineage and decision chronology,A4F-SIPP: NO_DYNAMIC_POLICY_PASSED,A4F-SIPP,UKACTIVE-A4F-SIPP-REGIME/UKACTIVE_A4F_SIPP_DECISION.json,final decision/disposition fields,6dba072dce65da56284a8c02f9f380301048d492,,,Chronological programme disposition,RECONCILED,
LIN-A5C-SIPP,3 Research lineage and decision chronology,A5C-SIPP: FROZEN_AWAITING_HOLDINGS_INPUT,A5C-SIPP,UKACTIVE-A5C-SIPP/UKACTIVE_A5C_SIPP_DECISION.json,final decision/disposition fields,beb8d49828b9819aa167d2e07ffdc2b92581b36b,,,Chronological programme disposition,RECONCILED,
DATA-01,4 Dataset and investable universe,Raw LSE discovery lines: 4359,A0/A1,UKACTIVE_A0A1_MANIFEST.json,count/manifest field for Raw LSE discovery lines,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Listings observed in the current discovery census; not a historical investable universe,RECONCILED,
DATA-02,4 Dataset and investable universe,Distinct raw ISINs: 2821,A0/A1,UKACTIVE_A0A1_MANIFEST.json,count/manifest field for Distinct raw ISINs,2c26ad3639e4e025477d9415f4f7b707e9856b55,,,Raw current identifiers before curation,RECONCILED,
