stage,objective,principal_new_capability,principal_test,decision,consequence
A0/A1,Specify the research problem and construct the instrument/share-class/family hierarchy,"Audited universe, taxonomies, current-investability separation",No strategy test,DATA_FOUNDATION_ONLY,Build causal total-return histories
A2,"Construct GBP total-return, FX, cash, implementation and point-in-time panels","Vendor routing, distributions, stale/missing controls",Readiness and data-quality tests,CONDITIONAL_READY,Remediate identity and history defects
A3R0,Audit A3 competition pools against economic identity,Detected 14 material family/history mismatches,Semantic and automated lineage audit,FAIL_BLOCKED,Repair lineage before interpreting signals
A2R,Repair family identity and implementation histories,13 of 14 blocking families remediated; no proxy for the remaining family,27 automated and 17 semantic tests,PASS_WITH_ONE_EXCLUSION,Re-run readiness
A3R1,Re-run signal construction after A2R,Exposed calendar/session defect,Timing and endpoint checks,FAIL_BLOCKED,Reconstruct the XLON research calendar
A2R2,Repair false vendor sessions and endpoint logic,Deterministic XLON calendar; three-session prior-only tolerance,"Synthetic, benchmark-validity and affected-family audits",PASS,Repeat signal discovery causally
A3R1R1,Repeat the preregistered signal tests on corrected data,180 formal cells with HAC/bootstrap/FDR accounting,Cross-sectional predictive tests,NO_FDR_SURVIVOR,Permit bounded portfolio exploration
A3R2/U/S/W/Q,"Explore causal role pools, breadth, signal families and weighting controls","Dynamic current census, role taxonomy and equal-weight result",315 specifications plus controls,EXPLORATORY_LEAD_ONLY,Forensic TOP1 implementation test
A4,Test the initial concentrated monthly rotation candidate,"Executable portfolio, costs, randomisation and contribution attribution",TOP1 3/6/12 momentum,RIGHT_TAIL_DEPENDENT,Test diversified breadth
A4B/A4C,"Test lifecycle, exit, regime, early-entry and core/satellite hypotheses",Failure-mode and drawdown decomposition,"Fast exits, locks, sizing, 50/50 architecture",NO_EXIT_OR_REGIME_PROMOTION,Construct parsimonious multi-horizon stage
A4D,"Compare multi-horizon signal, breadth, frequency, cash and weighting",M1/M2/M3; TOP3--10; daily/weekly/monthly; CASH0--4,Staged economic and statistical gates,SELECT_M2_TOP7_MONTHLY_CASH0_EQUAL,Falsify defence and whole-SIPP claims
A4E-SIPP,"Test SIPP implementation, matched exposure, cash timing and static controls","Matched exposure/risk, live cost map, crisis limitations",CASH1 and global/cash timing falsification,STATIC_75_25_CONTROL_ONLY,Test causal regime policies
A4F-SIPP,Test causal regime telemetry and dynamic allocation policies,"Four regimes, six policies, static frontier, influence tests","HAC/bootstrap, cost/year/family/spell gates",NO_DYNAMIC_POLICY_PASSED,Choose limited static pilot wrapper
A5C-SIPP,Freeze the scientific model and specify prospective operations,"Immutable spec, cost restatement, ledger, runbook and blockers",26/26 correctness checks; zero prospective events,FROZEN_AWAITING_HOLDINGS_INPUT,Observe prospectively; do not reopen development
