rotation_pool_id,pool_description,intended_rotation_roles,descriptive_family_count,effective_research_family_count,selectable_family_count,benchmark_only_family_count,primary_equity_tournament_pool,descriptive_member_family_ids,effective_member_family_ids,external_reference_assets,deepvue_controls_membership,warning
POOL_BROAD_GEOGRAPHY_PRIMARY,Broad unhedged geographic leaders: major regions and large national markets that are economically meaningful peers,BROAD_GEOGRAPHY_ROTATION,8,7,7,0,YES,DEVELOPED_ASIA_PACIFIC;EMERGING_MARKETS;EUROPE_BROAD;EUROZONE;JAPAN;LATIN_AMERICA;UK_BROAD_MARKET;US_BROAD_LARGE_CAP,DEVELOPED_ASIA_PACIFIC;EMERGING_MARKETS;EUROPE_BROAD;EUROZONE;JAPAN;UK_BROAD_MARKET;US_BROAD_LARGE_CAP,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_CHINA_THEMES,China-specific themes,THEME_ROTATION,1,1,1,0,YES,CHINA_INTERNET,CHINA_INTERNET,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_COUNTRY_CHINA_IMPLEMENTATIONS,China broad/A-share/hedged implementation variants assessed separately,COUNTRY_ROTATION,3,2,2,0,YES,CHINA_A_SHARES;CHINA_BROAD;CHINA_BROAD_USD_HEDGED,CHINA_A_SHARES;CHINA_BROAD,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_COUNTRY_ROTATION,Distinct single-country exposures outside the broad primary-region set,COUNTRY_ROTATION,5,5,5,0,YES,AUSTRALIA;CANADA;INDIA;SOUTH_KOREA;TAIWAN,AUSTRALIA;CANADA;INDIA;SOUTH_KOREA;TAIWAN,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_DEFENSIVE_CASH_LIKE,Cash-like ETF references; actual GBP cash remains a separate A2 research asset,DEFENSIVE_REFERENCE,3,2,2,0,NO,EUR_OVERNIGHT_CASH;GBP_OVERNIGHT_CASH;USD_OVERNIGHT_CASH,EUR_OVERNIGHT_CASH;USD_OVERNIGHT_CASH,ACTUAL_GBP_CASH,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_DEFENSIVE_FIXED_INCOME,Fixed-income defensive references; excluded from the primary equity tournament,DEFENSIVE_REFERENCE,7,4,4,0,NO,GBP_CORPORATE_IG;GLOBAL_AGGREGATE_BONDS_GBP_HEDGED;GLOBAL_CORPORATE_IG_GBP_HEDGED;UK_GILTS_ALL;UK_GILTS_LONG;UK_GILTS_SHORT;UK_INDEX_LINKED_GILTS,GBP_CORPORATE_IG;GLOBAL_AGGREGATE_BONDS_GBP_HEDGED;UK_GILTS_ALL;UK_GILTS_SHORT,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_DEFENSIVE_REAL_ASSETS,"Gold, silver and broad-commodity diversifiers",DEFENSIVE_REFERENCE,3,3,3,0,NO,BROAD_COMMODITIES;GOLD;SILVER_PHYSICAL,BROAD_COMMODITIES;GOLD;SILVER_PHYSICAL,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_EUROPE_BROAD_SECTORS,Provider-neutral Europe broad sectors,SECTOR_ROTATION,11,11,11,0,YES,EUROPE_COMMUNICATION_SERVICES;EUROPE_CONSUMER_DISCRETIONARY;EUROPE_CONSUMER_STAPLES;EUROPE_ENERGY;EUROPE_FINANCIALS;EUROPE_HEALTHCARE;EUROPE_INDUSTRIALS;EUROPE_MATERIALS;EUROPE_REAL_ESTATE;EUROPE_TECHNOLOGY;EUROPE_UTILITIES,EUROPE_COMMUNICATION_SERVICES;EUROPE_CONSUMER_DISCRETIONARY;EUROPE_CONSUMER_STAPLES;EUROPE_ENERGY;EUROPE_FINANCIALS;EUROPE_HEALTHCARE;EUROPE_INDUSTRIALS;EUROPE_MATERIALS;EUROPE_REAL_ESTATE;EUROPE_TECHNOLOGY;EUROPE_UTILITIES,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_EUROPE_INDUSTRIES,Europe industry and subsector opportunities,INDUSTRY_ROTATION,1,1,1,0,YES,EUROPE_BANKS,EUROPE_BANKS,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
POOL_EUROPE_THEMES,Europe-specific themes,THEME_ROTATION,2,2,2,0,YES,EUROPE_AEROSPACE_DEFENCE;EUROPE_INFRASTRUCTURE,EUROPE_AEROSPACE_DEFENCE;EUROPE_INFRASTRUCTURE,NOT_APPLICABLE,NO,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
