instrument,reported_ticker,reported_isin,classification,classification_status,market_value_gbp,included_in_25pct_active_thematic_cap,exact_model_compliance,notes
RLON,RLON,,DEFENSIVE_STRATEGIC,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,False,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,Exact Royal London fund/share class and ISIN required
CSH2,CSH2,,DEFENSIVE_TACTICAL,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,False,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,Canonical reference ISIN LU1230136894; current holding identity/value still required
Artemis Global Income,,,DISCRETIONARY_ACTIVE,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,True,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,Active fund; exact share class and value required
Artemis European Select,,,DISCRETIONARY_ACTIVE,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,True,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,Active regional fund; exact share class and value required
VWRL,VWRL,,LEGACY_TRANSITION,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,False,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,Broad global equity overlap but frozen core implementation is SWDA
QQQA,QQQA,,DISCRETIONARY_ACTIVE,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,True,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,Concentrated active/thematic exposure included in 25% cap
COPG,COPG,,M2_ECONOMIC_OVERLAP_BUT_NONCOMPLIANT,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,True,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,Economic overlap only; exact ticker/ISIN is not a frozen M2 preferred line
LITG,LITG,,M2_ECONOMIC_OVERLAP_BUT_NONCOMPLIANT,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,True,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,Economic overlap only; exact ticker/ISIN is not a frozen M2 preferred line
SILG,SILG,,M2_ECONOMIC_OVERLAP_BUT_NONCOMPLIANT,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,True,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,"Ticker matches a frozen line, but current held ISIN must be supplied before exact-compliance classification"
ENGE,ENGE,,M2_ECONOMIC_OVERLAP_BUT_NONCOMPLIANT,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,True,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,Economic overlap only; exact ticker/ISIN is not a frozen M2 preferred line
GDGB,GDGB,,M2_ECONOMIC_OVERLAP_BUT_NONCOMPLIANT,PROVISIONAL_AWAITING_EXACT_CURRENT_HOLDINGS_INPUT,,True,NOT_ESTABLISHED_FROM_NAME_OR_TICKER_ONLY,Economic overlap only; exact ticker/ISIN is not a frozen M2 preferred line
